Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
98942,3806404,77,8,8,0,184.8,73.92,66.0,97,2,0.24839535,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,78,8,8,0,184.8,73.92,66.0,97,2,0.30733028,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,79,8,8,0,184.8,73.92,66.0,97,2,0.3765507,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,80,8,8,0,184.8,73.92,66.0,97,2,0.42323837,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,81,8,8,0,184.8,73.92,66.0,97,2,0.4796769,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,82,8,8,0,184.8,73.92,66.0,97,2,0.5572289,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,83,8,8,0,184.8,73.92,66.0,97,2,0.5581921,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
98942,3806404,90,8,8,0,184.8,73.92,66.0,97,2,1.0,0.5782882000047802,0,0,0,0,1,0,1,0,0,0,0,0
280371,19445419,74,9.5,9,1,147.84,92.4,66.0,100,1,0.0673761,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,75,9.5,9,1,147.84,92.4,66.0,100,1,0.12637901,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,76,9.5,9,1,147.84,92.4,66.0,100,1,0.1870451,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,77,9.5,9,1,147.84,92.4,66.0,100,1,0.24507514,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,78,9.5,9,1,147.84,92.4,66.0,100,1,0.304525,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,79,9.5,9,1,147.84,92.4,66.0,100,1,0.36258757,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,80,9.5,9,1,147.84,92.4,66.0,100,1,0.42151204,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,81,9.5,9,1,147.84,92.4,66.0,100,1,0.4695372,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,82,9.5,9,1,147.84,92.4,66.0,100,1,0.5204106,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
280371,19445419,83,9.5,9,1,147.84,92.4,66.0,100,1,0.5622014,0.5820445508417326,0,0,0,1,0,0,0,0,0,0,1,0
